Station,DateTime,NO2,O3,SO2,CO,PM10,PM2.5
Central/Western,2025-04-17 00:00:00+08:00,28.1,,2.2,,70.6,19.4
Central/Western,2025-04-17 01:00:00+08:00,28.1,86.6,2.2,,66.0,16.5
Central/Western,2025-04-17 02:00:00+08:00,19.8,97.9,3.0,,64.8,16.5
Central/Western,2025-04-17 03:00:00+08:00,19.2,94.8,3.0,,59.9,16.4
Central/Western,2025-04-17 04:00:00+08:00,19.2,100.6,2.5,,60.6,17.4
Central/Western,2025-04-17 05:00:00+08:00,10.5,102.4,2.7,,57.9,15.1
Central/Western,2025-04-17 06:00:00+08:00,14.7,100.3,3.3,,61.1,18.8
Central/Western,2025-04-17 07:00:00+08:00,22.4,92.2,2.7,,59.4,17.9
Central/Western,2025-04-17 08:00:00+08:00,39.9,77.9,3.0,,53.9,14.4
Central/Western,2025-04-17 09:00:00+08:00,48.0,72.3,2.6,,56.8,17.1
Central/Western,2025-04-17 10:00:00+08:00,52.8,68.8,2.5,,58.7,19.7
Central/Western,2025-04-17 11:00:00+08:00,27.7,91.0,2.2,,58.6,20.9
Central/Western,2025-04-17 12:00:00+08:00,14.7,95.3,1.7,,47.0,14.6
Central/Western,2025-04-17 13:00:00+08:00,8.9,99.3,1.6,,47.0,14.0
Central/Western,2025-04-17 14:00:00+08:00,13.1,97.4,1.7,,47.0,13.4
Central/Western,2025-04-17 15:00:00+08:00,12.4,94.1,1.7,,50.5,14.7
Central/Western,2025-04-17 16:00:00+08:00,16.0,83.9,1.6,,51.8,14.2
Central/Western,2025-04-17 17:00:00+08:00,16.0,83.2,1.6,,51.4,13.4
Central/Western,2025-04-17 18:00:00+08:00,12.3,88.7,1.8,,53.2,13.6
Central/Western,2025-04-17 19:00:00+08:00,10.8,94.5,1.9,,53.6,13.9
Central/Western,2025-04-17 20:00:00+08:00,11.3,93.7,2.1,,52.8,12.6
Central/Western,2025-04-17 21:00:00+08:00,12.0,89.3,2.2,,48.6,11.3
Central/Western,2025-04-17 22:00:00+08:00,9.5,90.5,2.1,,47.9,13.2
Central/Western,2025-04-17 23:00:00+08:00,10.8,85.1,2.2,,47.0,12.2
Southern,2025-04-17 00:00:00+08:00,6.0,98.2,4.9,316.7,54.0,13.0
Southern,2025-04-17 01:00:00+08:00,6.0,89.4,4.6,315.6,49.2,11.7
Southern,2025-04-17 02:00:00+08:00,3.5,86.2,4.4,298.2,47.5,13.8
Southern,2025-04-17 03:00:00+08:00,2.3,76.6,4.3,285.8,43.9,14.0
Southern,2025-04-17 04:00:00+08:00,2.2,71.1,4.2,281.7,44.3,17.5
Southern,2025-04-17 05:00:00+08:00,2.2,74.6,4.2,294.2,40.8,15.4
Southern,2025-04-17 06:00:00+08:00,3.5,66.4,4.4,291.2,35.1,10.4
Southern,2025-04-17 07:00:00+08:00,7.1,60.4,4.2,316.0,31.0,7.6
Southern,2025-04-17 08:00:00+08:00,16.2,72.2,4.2,342.9,35.3,12.2
Southern,2025-04-17 09:00:00+08:00,17.8,99.1,4.3,332.3,44.1,15.3
Southern,2025-04-17 10:00:00+08:00,19.3,101.6,4.5,317.7,49.1,15.7
Southern,2025-04-17 11:00:00+08:00,18.5,99.2,4.9,312.9,46.9,15.3
Southern,2025-04-17 12:00:00+08:00,11.4,103.4,4.7,312.0,41.5,9.9
Southern,2025-04-17 13:00:00+08:00,9.8,104.8,4.7,305.2,43.6,10.9
Southern,2025-04-17 14:00:00+08:00,7.9,108.9,3.9,274.5,44.0,11.1
Southern,2025-04-17 15:00:00+08:00,7.0,103.8,4.6,267.5,46.4,12.6
Southern,2025-04-17 16:00:00+08:00,7.8,102.9,5.3,281.8,45.4,10.8
Southern,2025-04-17 17:00:00+08:00,6.3,102.3,6.3,278.4,46.9,11.7
Southern,2025-04-17 18:00:00+08:00,7.1,102.6,5.1,284.7,46.4,10.3
Southern,2025-04-17 19:00:00+08:00,10.0,99.4,4.6,301.4,50.1,13.5
Southern,2025-04-17 20:00:00+08:00,11.4,93.4,4.4,302.6,49.8,12.5
Southern,2025-04-17 21:00:00+08:00,12.5,89.6,4.5,281.0,47.7,11.6
Southern,2025-04-17 22:00:00+08:00,11.1,83.1,5.1,301.6,45.5,9.8
Southern,2025-04-17 23:00:00+08:00,14.9,57.8,4.7,345.5,41.7,9.8
Eastern,2025-04-17 00:00:00+08:00,29.9,104.2,1.2,,74.4,21.4
Eastern,2025-04-17 01:00:00+08:00,20.6,108.3,1.4,,69.4,21.1
Eastern,2025-04-17 02:00:00+08:00,13.5,109.0,1.4,,63.8,17.4
Eastern,2025-04-17 03:00:00+08:00,16.8,101.0,1.4,,64.9,19.3
Eastern,2025-04-17 04:00:00+08:00,13.7,103.6,1.3,,64.6,19.4
Eastern,2025-04-17 05:00:00+08:00,14.4,108.6,2.2,,63.1,20.3
